title,price,rating,stock,category_avg_price,category_median_price,price_deviation_from_category,price_percentile_in_category,brand_trend_score,category_trend_score,demand_score,estimated_time_to_sell,predicted_market_price,pricing_gap,platform_fee_estimate,expected_resale_profit,brand_Annibale Colombo,brand_Apple,brand_Asus,brand_Attitude,brand_Bath Trends,brand_Beats,brand_Calvin Klein,brand_Casual Comfort,brand_Chanel,brand_Chic Cosmetics,brand_Chrysler,brand_Classic Wear,brand_Comfort Trends,brand_Dell,brand_Dior,brand_Dodge,brand_Dolce & Gabbana,brand_Elegance Collection,brand_Essence,brand_Fashion Co.,brand_Fashion Diva,brand_Fashion Express,brand_Fashion Fun,brand_Fashion Gold,brand_Fashion Shades,brand_Fashion Timepieces,brand_Fashion Trends,brand_Fashionista,brand_Furniture Co.,brand_GadgetMaster,brand_Generic Motors,brand_Gigabyte,brand_Glamour Beauty,brand_Gucci,brand_Heshe,brand_Huawei,brand_IWC,brand_Kawasaki,brand_Knoll,brand_Lenovo,brand_Longines,brand_MotoGP,brand_Nail Couture,brand_Nike,brand_Off White,brand_Olay,brand_Oppo,brand_Pampi,brand_Prada,brand_ProVision,brand_Puma,brand_Realme,brand_Rolex,brand_Samsung,brand_ScootMaster,brand_SnapTech,brand_SpeedMaster,brand_TechGear,brand_Unknown,brand_Urban Chic,brand_Vaseline,brand_Velvet Touch,brand_Vivo,category_fragrances,category_furniture,category_groceries,category_home-decoration,category_kitchen-accessories,category_laptops,category_mens-shirts,category_mens-shoes,category_mens-watches,category_mobile-accessories,category_motorcycle,category_skin-care,category_smartphones,category_sports-accessories,category_sunglasses,category_tablets,category_tops,category_vehicle,category_womens-bags,category_womens-dresses,category_womens-jewellery,category_womens-shoes,category_womens-watches
Annibale Colombo Bed,1899.99,4.77,88,1199.99,799.99,700.0,0.8,2.0,5,23.85,1.2072434607645877,1199.99,-700.0,95.9992,-795.9992,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Annibale Colombo Sofa,2499.99,3.92,60,1199.99,799.99,1299.9999999999998,1.0,2.0,5,19.6,1.4563106796116505,1199.99,-1299.9999999999998,95.9992,-1395.9991999999995,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bedside Table African Cherry,299.99,2.87,64,1199.99,799.99,-900.0,0.2,1.0,5,14.35,1.954397394136808,1199.99,900.0,95.9992,804.0008,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Knoll Saarinen Executive Conference Chair,499.99,4.88,26,1199.99,799.99,-700.0,0.4,1.0,5,24.4,1.1811023622047243,1199.99,700.0,95.9992,604.0008,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Wooden Bathroom Sink With Mirror,799.99,3.59,7,1199.99,799.99,-400.0,0.6,1.0,5,17.95,1.58311345646438,1199.99,400.0,95.9992,304.0008,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Apple,1.99,4.19,8,5.467777777777777,3.99,-3.477777777777777,0.2592592592592592,1.0,27,113.13,0.2628581442215018,5.467777777777777,3.477777777777777,0.4374222222222221,3.040355555555555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Beef Steak,12.99,4.47,86,5.467777777777777,3.99,7.522222222222223,0.925925925925926,1.0,27,120.69,0.2465280631111841,5.467777777777777,-7.522222222222223,0.4374222222222221,-7.959644444444445,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cat Food,8.99,3.13,46,5.467777777777777,3.99,3.522222222222223,0.8148148148148148,1.0,27,84.50999999999999,0.3508361595135072,5.467777777777777,-3.522222222222223,0.4374222222222221,-3.959644444444445,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chicken Meat,9.99,3.19,97,5.467777777777777,3.99,4.522222222222223,0.8518518518518519,1.0,27,86.13,0.3443130953747274,5.467777777777777,-4.522222222222223,0.4374222222222221,-4.959644444444445,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cooking Oil,4.99,4.8,10,5.467777777777777,3.99,-0.4777777777777769,0.6111111111111112,1.0,27,129.6,0.229709035222052,5.467777777777777,0.4777777777777769,0.4374222222222221,0.0403555555555548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cucumber,1.49,4.07,84,5.467777777777777,3.99,-3.977777777777777,0.1851851851851851,1.0,27,109.89,0.2705383713590044,5.467777777777777,3.977777777777777,0.4374222222222221,3.540355555555555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dog Food,10.99,4.55,71,5.467777777777777,3.99,5.522222222222223,0.8888888888888888,1.0,27,122.85,0.2422285022204279,5.467777777777777,-5.522222222222223,0.4374222222222221,-5.959644444444445,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Eggs,2.99,2.53,9,5.467777777777777,3.99,-2.477777777777777,0.4444444444444444,1.0,27,68.30999999999999,0.4328379743182802,5.467777777777777,2.477777777777777,0.4374222222222221,2.040355555555555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fish Steak,14.99,3.78,74,5.467777777777777,3.99,9.522222222222222,0.9629629629629628,1.0,27,102.06,0.2910925674364448,5.467777777777777,-9.522222222222222,0.4374222222222221,-9.959644444444445,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Green Bell Pepper,1.29,3.25,33,5.467777777777777,3.99,-4.177777777777777,0.1481481481481481,1.0,27,87.75,0.3380281690140845,5.467777777777777,4.177777777777777,0.4374222222222221,3.740355555555555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Green Chili Pepper,0.99,3.66,3,5.467777777777777,3.99,-4.477777777777777,0.0925925925925925,1.0,27,98.82,0.3005409737527549,5.467777777777777,4.477777777777777,0.4374222222222221,4.040355555555555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Honey Jar,6.99,3.97,34,5.467777777777777,3.99,1.522222222222223,0.7407407407407407,1.0,27,107.19,0.2772899528607079,5.467777777777777,-1.522222222222223,0.4374222222222221,-1.9596444444444447,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ice Cream,5.49,3.39,27,5.467777777777777,3.99,0.022222222222223,0.6666666666666666,1.0,27,91.53,0.3242191721603804,5.467777777777777,-0.022222222222223,0.4374222222222221,-0.4596444444444452,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Juice,3.99,3.94,50,5.467777777777777,3.99,-1.477777777777777,0.5370370370370371,1.0,27,106.38,0.2793816353138387,5.467777777777777,1.477777777777777,0.4374222222222221,1.0403555555555548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kiwi,2.49,4.93,99,5.467777777777777,3.99,-2.977777777777777,0.3888888888888889,1.0,27,133.11,0.2236969651778391,5.467777777777777,2.977777777777777,0.4374222222222221,2.540355555555555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lemon,0.79,3.53,31,5.467777777777777,3.99,-4.677777777777777,0.037037037037037,1.0,27,95.31,0.3114941335271519,5.467777777777777,4.677777777777777,0.4374222222222221,4.2403555555555545,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Milk,3.49,2.61,27,5.467777777777777,3.99,-1.977777777777777,0.4814814814814814,1.0,27,70.47,0.4197565412061004,5.467777777777777,1.977777777777777,0.4374222222222221,1.5403555555555548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mulberry,4.99,4.95,99,5.467777777777777,3.99,-0.4777777777777769,0.6111111111111112,1.0,27,133.65,0.2227998514667656,5.467777777777777,0.4777777777777769,0.4374222222222221,0.0403555555555548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nescafe Coffee,7.99,4.82,57,5.467777777777777,3.99,2.522222222222223,0.7777777777777778,1.0,27,130.14,0.2287631538813481,5.467777777777777,-2.522222222222223,0.4374222222222221,-2.959644444444445,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Potatoes,2.29,4.81,13,5.467777777777777,3.99,-3.177777777777777,0.3333333333333333,1.0,27,129.86999999999998,0.2292351188202033,5.467777777777777,3.177777777777777,0.4374222222222221,2.740355555555555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Protein Powder,19.99,4.18,80,5.467777777777777,3.99,14.522222222222222,1.0,1.0,27,112.86,0.263481468470051,5.467777777777777,-14.522222222222222,0.4374222222222221,-14.959644444444445,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Red Onions,1.99,4.2,82,5.467777777777777,3.99,-3.477777777777777,0.2592592592592592,1.0,27,113.4,0.2622377622377622,5.467777777777777,3.477777777777777,0.4374222222222221,3.040355555555555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rice,5.99,3.18,59,5.467777777777777,3.99,0.522222222222223,0.7037037037037037,1.0,27,85.86,0.345383375546857,5.467777777777777,-0.522222222222223,0.4374222222222221,-0.9596444444444452,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Soft Drinks,1.99,4.75,53,5.467777777777777,3.99,-3.477777777777777,0.2592592592592592,1.0,27,128.25,0.2321083172147001,5.467777777777777,3.477777777777777,0.4374222222222221,3.040355555555555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Strawberry,3.99,3.08,46,5.467777777777777,3.99,-1.477777777777777,0.5370370370370371,1.0,27,83.16,0.3564638783269962,5.467777777777777,1.477777777777777,0.4374222222222221,1.0403555555555548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tissue Paper Box,2.49,2.69,86,5.467777777777777,3.99,-2.977777777777777,0.3888888888888889,1.0,27,72.63,0.4074426184978949,5.467777777777777,2.977777777777777,0.4374222222222221,2.540355555555555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Water,0.99,4.96,53,5.467777777777777,3.99,-4.477777777777777,0.0925925925925925,1.0,27,133.92,0.2223539875481767,5.467777777777777,4.477777777777777,0.4374222222222221,4.040355555555555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Decoration Swing,59.99,3.16,47,38.99,39.99,21.000000000000007,1.0,1.0,5,15.8,1.7857142857142856,38.99,-21.000000000000007,3.1192,-24.119200000000006,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Family Tree Photo Frame,29.99,4.53,77,38.99,39.99,-8.999999999999996,0.4,1.0,5,22.65,1.2684989429175475,38.99,8.999999999999996,3.1192,5.880799999999997,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
House Showpiece Plant,39.99,4.67,28,38.99,39.99,1.000000000000007,0.6,1.0,5,23.35,1.2320328542094454,38.99,-1.000000000000007,3.1192,-4.119200000000006,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Plant Pot,14.99,3.01,59,38.99,39.99,-23.999999999999996,0.2,1.0,5,15.05,1.869158878504673,38.99,23.999999999999996,3.1192,20.880799999999997,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
